smiles,E,S,A,B,L
CCCCCCCCC,0.00827,0.00022,-1e-05,0.00143,4.20624
CCCCCCCCCC,0.01027,0.00196,-0.00025,0.00201,4.73161
CCCCCCCCCCC,0.01075,0.00314,7e-05,0.00417,5.25642
CCCCCCCCCCCC,0.01115,0.00463,0.00026,0.00366,5.73428
CCCCCCCCCCCCC,0.01011,0.00467,0.00069,0.00361,6.21524
CCCCCCCCCCCCCCC,0.00887,0.00383,0.00077,0.00268,7.22521
CCCCCCCCCCCCCCCC,0.00851,0.00401,0.0006,0.00288,7.75776
CCCCCCCCCCCCCCCCC,0.00828,0.0029,-6e-05,0.00381,8.29487
CCCCCCCCCCCCCCCCCC,0.00758,0.00163,-0.00013,0.00387,8.81223
CCCCCCCCCCCCCCCCCCC,0.0075,0.00131,-0.00015,0.00363,9.31785
CCCCCCCCCCCCCCCCCCCC,0.00781,0.00166,-0.00035,0.00325,9.82211
CCC(C)C(C)C,0.01008,-0.00046,0.0009,0.00152,3.04651
CC(=C)C=C,0.34932,0.22353,0.00127,0.12146,2.22086
CC(C)C#C,0.12682,0.25198,0.12282,0.10584,1.85225
CCC#CC,0.25394,0.29868,0.00037,0.18631,2.27423
CCCCC#C,0.17634,0.22808,0.09785,0.1196,2.54073
CCCC#CC,0.24372,0.29081,-0.0007,0.16335,2.78248
CCC#CCC,0.23414,0.29813,-0.00261,0.15547,2.71897
CCCCCC#C,0.17492,0.23427,0.09222,0.11554,3.06328
CCCCCCC#C,0.1665,0.22407,0.08997,0.10782,3.50386
CCC1CCCCC1,0.26724,0.11839,0.00051,-0.00441,3.83301
C1CC=CC1,0.32641,0.23253,2e-05,0.08599,2.3094
CC1=CCCC1,0.33096,0.24298,0.00036,0.12905,2.84053
C1CCC=CC1,0.39011,0.27378,0.00119,0.09599,2.97837
CC1=CC=C(C=C1)C(C)C,0.62316,0.50615,0.00031,0.18994,4.63137
C=CC1=CC=CC=C1,0.85372,0.65153,-0.00316,0.17041,3.93102
CCCCCO,0.22442,0.415,0.37015,0.49457,3.15127
CC(C)CCO,0.20821,0.39244,0.35268,0.50091,2.99296
CC(CO)O,0.35785,0.85342,0.55581,0.8184,2.84938
CC(C)OC,0.04971,0.22769,-0.00105,0.52869,1.86249
CC(C)COC,0.02453,0.23677,-5e-05,0.44401,2.46446
CCOC(C)C,0.00846,0.21283,-0.00085,0.51696,2.20512
COC1=CC=CC=C1,0.71007,0.75065,0.00261,0.29338,3.88851
C1=CC=C(C=C1)OC2=CC=CC=C2,1.23291,1.07349,0.00452,0.213,6.39566
C=O,0.17157,0.34581,0.17129,0.21991,0.54929
CCCCCC=O,0.15626,0.65145,-0.00129,0.44518,3.3722
CCCCCCCCCC=O,0.13169,0.65098,0.00062,0.4546,5.42879
CC(C)CC(=O)C,0.11557,0.66367,-0.00071,0.52513,3.13725
CCC(=O)C(C)C,0.1227,0.63366,0.00035,0.5227,3.23238
CC(C)C(=O)C(C)C,0.10975,0.60121,-1e-05,0.52638,3.44693
C(=O)O,0.3358,0.76493,0.69976,0.33287,1.49808
C1=CC=C(C=C1)C(=O)O,0.7586,0.92025,0.60986,0.44432,4.5492
CCCC(=O)OCC,0.07306,0.57696,0.00119,0.45279,3.2598
CCCCOC(=O)C,0.08868,0.60297,-0.00188,0.45022,3.36711
COC(=O)C1=CC=CC=C1,0.71992,0.87294,-0.00062,0.45192,4.74439
CCOC(=O)C1=CC=CC=C1,0.6982,0.83287,-0.00036,0.46233,5.17117
CC(=O)OC=C,0.23474,0.5683,0.00267,0.43559,2.16117
CN,0.25758,0.34727,0.16147,0.58582,1.29017
CNC,0.19189,0.29982,0.08349,0.65936,1.59933
CCN,0.24101,0.35049,0.17169,0.61444,1.68362
CCCN,0.23194,0.34383,0.16496,0.61668,2.1347
CCCNCCC,0.12492,0.2878,0.07923,0.6801,3.31256
C1=CC=C(C=C1)N,0.95182,0.96362,0.26434,0.40272,3.9389
CNC1=CC=CC=C1,0.9414,0.90195,0.18235,0.43356,4.4707
CN(C)C1=CC=CC=C1,0.95832,0.80904,0.00066,0.4079,4.71882
C(=O)N,0.47315,1.27733,0.60138,0.57019,2.39704
CN(C)C=O,0.36591,1.29681,0.00245,0.72205,3.17024
CC(=O)N,0.4394,1.29479,0.55893,0.64301,2.82979
CC(=O)NC,0.36339,1.2876,0.40218,0.71733,3.11904
CC#N,0.21009,0.89819,0.0608,0.29984,1.65921
CCC#N,0.16818,0.89807,0.02058,0.35025,2.0441
CCCC#N,0.17225,0.91226,0.00287,0.37096,2.55565
CCCS,0.39626,0.42489,-0.00211,0.21673,2.59116
CCCCS,0.38713,0.43021,0.00015,0.21859,3.10064
CC(C)CS,0.36029,0.32649,-0.00203,0.2418,3.08661
CCSC,0.40004,0.37566,-0.00248,0.30923,2.50467
CCF,0.04815,0.32134,0.00091,0.06121,0.70872
CCCCl,0.22205,0.41113,-0.00057,0.09994,2.19911
CC(C)Cl,0.1756,0.35839,0.00321,0.11015,1.93197
CCC(Cl)Cl,0.33563,0.52493,0.05555,0.10397,2.80887
CC(CCl)Cl,0.36507,0.6037,0.01195,0.17954,2.79931
C=CCl,0.25845,0.35,0.01112,0.04574,1.40427
[N]=O,0.08849,0.4608,0.06557,0.13133,0.33732
C(F)(F)F,-0.29851,0.27856,0.05356,-0.0034,-0.16076
C(F)(F)(F)F,-0.40716,-0.23919,-0.0108,0.00518,-0.62487
C(Cl)Cl,0.37144,0.56987,0.11259,0.05303,1.7521
C(Br)Br,0.71888,0.66614,0.10252,0.07661,2.83233
C(Br)(Br)Br,0.96853,0.68623,0.14926,0.06943,3.76981
C(CCl)Cl,0.41636,0.70694,0.07724,0.10937,2.5902
CC(Cl)(Cl)Cl,0.38443,0.47047,0.00627,0.07522,2.76011
C(C(Cl)Cl)(Cl)Cl,0.58955,0.75257,0.16576,0.11693,3.7597
C(C(F)(Cl)Cl)(F)(Cl)Cl,0.31196,0.34374,0.01371,0.02481,3.01466
CCCCCCl,0.21368,0.38063,-0.00048,0.0962,3.21382
C=C(Cl)Cl,0.3791,0.38106,0.00326,0.05366,2.12141
C(=C(Cl)Cl)Cl,0.52784,0.64858,0.00754,0.01056,3.0172
C(=C(Cl)Cl)(Cl)Cl,0.65935,0.49072,0.01188,0.01813,3.61463
CC1=CC(=CC=C1)Cl,0.74509,0.68455,-0.001,0.06983,4.15642
C1=CC=C(C=C1)CCl,0.81085,0.82179,0.00306,0.22177,4.40469
CCC(C)(C)C,0.00299,-0.0122,-0.00055,-0.00228,2.37894
CCC=C=C,0.28685,0.21536,0.00042,0.10486,2.36419
CC=C=CC,0.31536,0.20699,0.00089,0.11598,2.29456
C1CCC1,0.34999,0.18066,0.00111,0.00637,1.928
CCCC1CCCC1,0.23921,0.09244,-0.00127,-0.00271,3.77999
CCCCC1CCCC1,0.24609,0.1058,-0.00145,0.00336,4.2573
CCCCCC1CCCC1,0.26776,0.10292,-0.00158,0.00178,4.67394
CCCCCCC1CCCC1,0.26829,0.12574,-0.00209,0.0024,5.18642
CCCC1CCCCC1,0.27635,0.14374,0.00033,7e-05,4.33301
CCCCC1CCCCC1,0.28564,0.1573,-8e-05,0.00304,4.78508
CCCCCC1CCCCC1,0.30044,0.14616,-0.00187,0.00321,5.21205
CCCCCCC1CCCCC1,0.29946,0.16503,-0.00244,0.0037,5.69237
CCCCC1=CC=CC=C1,0.60863,0.50006,0.0006,0.15808,4.75619
CCCCCC1=CC=CC=C1,0.60073,0.49932,0.00094,0.15873,5.27124
CCCCCCC1=CC=CC=C1,0.5955,0.49611,0.00102,0.15492,5.73256
CC1=C(C(=C(C=C1)C)C)C,0.79799,0.6504,0.00058,0.2009,5.19616
CC1=CC(=C(C(=C1)C)C)C,0.75388,0.61263,0.00058,0.19904,5.03744
CC1=CC(=C(C=C1C)C)C,0.77069,0.62433,-0.00026,0.20047,5.11446
CC1=C(C(=C(C(=C1C)C)C)C)C,0.91593,0.70111,-0.00064,0.25718,6.36
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,1.80252,1.32453,-0.00266,0.50481,8.28718
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,2.37931,1.40131,-0.00104,0.62935,11.24328
CC1=CC2=CC=CC=C2C=C1,1.31672,0.8457,0.00064,0.24113,5.6814
CCC1=CC=CC2=CC=CC=C21,1.34438,0.77544,0.00067,0.23217,6.1772
CCC1=CC2=CC=CC=C2C=C1,1.33921,0.76589,0.00185,0.23662,6.16718
C(C(CO)O)O,0.50204,0.73229,0.66314,1.19926,3.14533
CCC(=O)OC(=O)CC,0.12159,0.81618,0.00309,0.65367,3.60904
C(C(=O)O)Cl,0.41728,1.04768,0.76471,0.35622,2.89562
C(C(=O)O)(Cl)Cl,0.47938,1.2093,0.9119,0.25935,3.59485
C(=O)(C(Cl)(Cl)Cl)O,0.52834,1.19844,0.99422,0.25254,4.14895
CCCC(=O)CCC,0.12604,0.64149,0.00031,0.5194,3.68414
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,1.37208,1.34077,0.00149,0.50709,7.28215
CCCOCCC,0.00996,0.26682,0.00017,0.45066,3.01567
CC1OC(OC(O1)C)C,0.14516,0.71451,-0.00302,0.69032,3.40893
C1=COC(=C1)C=O,0.69044,1.13382,-0.0003,0.45293,3.28838
C1=CC=C(C(=C1)C=O)O,0.95714,1.14636,0.13778,0.34129,4.78587
CCCOC(=O)CC,0.07747,0.56235,0.00048,0.45992,3.35965
COC(=O)C1=CC=CC=C1O,0.85297,0.93504,0.07055,0.47398,5.08186
C1CCNCC1,0.42264,0.40095,0.06121,0.77005,3.0942
CCN(CC)C1=CC=CC=C1,0.9498,0.80378,-0.00237,0.41768,5.29219
C1=CC=C(C=C1)NN,1.14489,1.11884,0.34013,0.55754,4.95511
C1=CC=C(C=C1)[N+](=O)[O-],0.86595,1.14382,-0.00075,0.28331,4.59328
CC1=CC=CC=C1[N+](=O)[O-],0.87495,1.12166,0.00286,0.28673,4.89793
CC1=CC(=CC=C1)[N+](=O)[O-],0.87295,1.12403,0.00249,0.27715,5.14028
CC1=CC=C(C=C1)[N+](=O)[O-],0.88201,1.12094,0.00041,0.28748,5.17595
