smiles,mulliken_dipole_tot
C,0.0
CC,0.0
CCC,0.057
CCCC,0.0001
CCCCC,0.0569
CCCCCC,0.0
CCCCCCC,0.0569
CCCCCCCC,0.0001
CCCCCCCCC,0.0571
CCCCCCCCCC,0.0002
CCCCCCCCCCC,0.0405
CCCCCCCCCCCC,0.0453
CCCCCCCCCCCCC,0.0568
CCCCCCCCCCCCCC,0.0001
CCCCCCCCCCCCCCC,0.0586
CCCCCCCCCCCCCCCC,0.0397
CCCCCCCCCCCCCCCCC,0.0529
CCCCCCCCCCCCCCCCCC,0.0496
CCCCCCCCCCCCCCCCCCC,0.0455
CCCCCCCCCCCCCCCCCCCC,0.0298
CC(C)C,0.0953
CCC(C)C,0.068
CC(C)C(C)C,0.0734
CCCC(C)C,0.1013
CCC(C)C(C)C,0.0924
CCC(C)(C)C(C)C,0.0705
CC(C)CC(C)(C)C,0.1087
CC=C,0.4031
CCC=C,0.3721
C/C=C\C,0.2179
CCCC=C,0.3983
CCCCC=C,0.4265
CCCCCC=C,0.4291
CCCCCCC=C,0.4429
CCCCCCCC=C,0.4401
CCCCCCCCC=C,0.4505
CC(=C)C,0.5708
CCC(=C)C,0.5552
CC=C(C)C,0.2039
C=CC=C,0.0
CC(=C)C=C,0.263
CC#C,0.7834
CC(C)C#C,0.7034
CCC#CC,0.0916
CCCCC#C,0.874
CCCC#CC,0.1577
CCC#CCC,0.1122
CCCCCC#C,0.8792
CCCCCCC#C,0.9149
C1CCCC1,0.0088
CC1CCCC1,0.0801
CCC1CCCC1,0.0506
C1CCCCC1,0.0
CC1CCCCC1,0.0745
CC1(CCCCC1)C,0.0903
CCC1CCCCC1,0.0217
C1CC=CC1,0.162
CC1=CCCC1,0.2652
C1CCC=CC1,0.2522
C1=CC=CC=C1,0.0
CC1=CC=CC=C1,0.3824
CC1=CC=CC=C1C,0.6583
CC1=CC(=CC=C1)C,0.3774
CC1=CC=C(C=C1)C,0.1115
CCC1=CC=CC=C1,0.3508
CCCC1=CC=CC=C1,0.3895
CC1=CC(=C(C=C1)C)C,0.3817
CC(C)C1=CC=CC=C1,0.3447
CC1=CC(=CC(=C1)C)C,0.1773
CC1=CC=C(C=C1)C(C)C,0.0802
C1=CC=C2C=CC=CC2=C1,0.0
C1=CC=C(C=C1)C2=CC=CC=C2,0.0002
C=CC1=CC=CC=C1,0.1605
CO,1.6255
CCO,1.5103
CCCO,1.4391
CCCCO,1.4704
CC(C)O,1.5028
CC(C)(C)O,1.4359
CCCCCO,1.4106
CC(C)CCO,1.4892
CCCCCCO,1.4606
CCCCCCCO,1.6584
CC(CO)O,2.4707
C1=CC=C(C=C1)O,1.3383
CC1=CC=CC=C1O,1.1584
CC1=CC(=CC=C1)O,1.641
COC,1.2528
CCCOC,1.0796
CC(C)OC,1.1776
CCCCOC,1.1144
CC(C)COC,1.055
CCOCC,1.0367
CCCOCC,0.9791
CCOC(C)C,1.0856
COC1=CC=CC=C1,1.3254
C1=CC=C(C=C1)OC2=CC=CC=C2,0.8925
C=O,2.1144
CCCCCC=O,2.422
CCCCCCCC=O,2.4201
CCCCCCCCCC=O,2.4201
CC(=O)C,2.786
CCC(=O)C,2.6543
CCCC(=O)C,2.5825
CC(C)C(=O)C,2.6258
CCCCC(=O)C,2.6123
CC(C)CC(=O)C,2.4689
CCC(=O)CC,2.5252
CCC(=O)C(C)C,2.4943
CC(C)C(=O)C(C)C,2.5101
CC(=O)C1=CC=CC=C1,2.9415
C(=O)O,1.6235
CC(=O)O,1.6975
CCC(=O)O,1.5451
CC(C)C(=O)O,1.5775
C1=CC=C(C=C1)C(=O)O,1.8844
COC=O,1.9062
CC(=O)OC,1.8027
CCC(=O)OC,1.6603
CCCC(=O)OC,1.5901
CCOC=O,2.1235
CCOC(=O)C,1.9599
CCC(=O)OCC,1.8227
CCCC(=O)OCC,1.7506
CCCOC=O,2.2098
CCCOC(=O)C,2.0122
CCCCOC(=O)C,2.0066
COC(=O)C1=CC=CC=C1,1.8301
CCOC(=O)C1=CC=CC=C1,1.9523
CC(=O)OC=C,1.6894
CN,1.3032
CNC,0.9247
CN(C)C,0.4855
CCN,1.2335
CCNCC,0.7991
CCN(CC)CC,0.5156
CCCN,1.1979
CCCNCCC,0.7706
CC(C)N,1.2096
C1=CC=C(C=C1)N,1.8564
CNC1=CC=CC=C1,2.1779
CN(C)C1=CC=CC=C1,2.1755
C1CO1,1.7822
C1=COC=C1,0.5351
C1=CSC=C1,0.3879
C1=CC=NC=C1,2.1006
C(=O)N,3.8213
CN(C)C=O,3.8454
CC(=O)N,3.7302
CC(=O)NC,3.7121
CC#N,3.723
CCC#N,3.7873
CCCC#N,3.9198
C1=CC=C(C=C1)C#N,4.369
CS,1.5088
CCS,1.5526
CCCS,1.6051
CCCCS,1.6518
CC(C)CS,1.4889
CSC,1.4862
CCSC,1.5074
CCSCC,1.5518
CF,1.7173
CCl,1.7979
C(Cl)(Cl)Cl,1.1625
C(Cl)(Cl)(Cl)Cl,0.0002
CCF,1.7425
CCBr,1.9594
CCCCl,1.8053
CC(C)Cl,1.9079
CCC(Cl)Cl,1.8474
CC(CCl)Cl,0.3709
C=CCl,1.2265
C1=CC=C(C=C1)F,1.4427
C1=CC=C(C=C1)Cl,1.4766
C1=CC=C(C=C1)Br,1.6313
C(F)(F)F,1.4931
C(F)(F)(F)F,0.0004
C(Cl)Cl,1.652
C(Br)Br,1.4618
C(Br)(Br)Br,0.9166
C(F)(F)Cl,1.4115
C(F)(Cl)Cl,1.3041
C(F)(F)(F)Cl,0.3514
C(F)(F)(Cl)Cl,0.4082
C(F)(Cl)(Cl)Cl,0.365
CC(Cl)Cl,1.9163
C(CCl)Cl,0.0
C(CBr)Br,0.0
CC(F)(F)F,2.2439
CC(Cl)(Cl)Cl,1.7028
C(C(Cl)Cl)(Cl)Cl,0.0
C(C(F)(Cl)Cl)(F)(Cl)Cl,0.5972
C(C(F)(Cl)Cl)(F)(F)Cl,0.7225
C(C(F)(F)Cl)(F)(F)Cl,0.5403
CCCCCCl,2.0089
C(=C(F)Cl)(F)F,0.4777
C=C(Cl)Cl,1.1056
C(=C(Cl)Cl)Cl,0.8033
C(=C(Cl)Cl)(Cl)Cl,0.0
C1=CC=C(C=C1)I,1.5514
CC1=CC(=CC=C1)Cl,1.765
C1=CC=C(C=C1)CCl,1.7968
CC(C)(C)C,0.0002
CCC(C)(C)C,0.0448
CCC=C=C,0.4269
CC=C=CC,0.1953
C1CCC1,0.0
CCCC1CCCC1,0.0856
CCCCC1CCCC1,0.0503
CCCCCC1CCCC1,0.0852
CCCCCCC1CCCC1,0.0509
CCCC1CCCCC1,0.0761
CCCCC1CCCCC1,0.0234
CCCCCC1CCCCC1,0.0744
CCCCCCC1CCCCC1,0.0223
CCCCC1=CC=CC=C1,0.4302
CCCCCC1=CC=CC=C1,0.4303
CCCCCCC1=CC=CC=C1,0.4539
CC1=C(C(=C(C=C1)C)C)C,0.6479
CC1=CC(=C(C(=C1)C)C)C,0.396
CC1=CC(=C(C=C1C)C)C,0.0
CC1=C(C(=C(C(=C1C)C)C)C)C,0.0001
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,0.0294
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,0.0002
CC1=CC2=CC=CC=C2C=C1,0.4916
CCC1=CC=CC2=CC=CC=C21,0.3398
CCC1=CC2=CC=CC=C2C=C1,0.4653
CCCCCCCCO,1.4572
CC(C)CO,1.4151
C(C(CO)O)O,2.2322
CCCCCC(=O)O,1.4502
CCC(=O)OC(=O)CC,3.9243
C(C(=O)O)Cl,2.9001
C(C(=O)O)(Cl)Cl,2.6438
C(=O)(C(Cl)(Cl)Cl)O,1.9156
CCCC(=O)CCC,2.3794
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,3.0262
CCCOCCC,0.9207
C1COCCO1,0.0
CC1OC(OC(O1)C)C,1.4761
C1=COC(=C1)C=O,3.5257
C1=CC=C(C(=C1)C=O)O,2.7349
CCCOC(=O)CC,1.8776
COC(=O)C1=CC=CC=C1O,2.3896
C1CCNCC1,0.8071
CCN(CC)C1=CC=CC=C1,2.0365
C1=CC=C(C=C1)NN,0.8792
C[N+](=O)[O-],3.4554
C1=CC=C(C=C1)[N+](=O)[O-],4.4327
CC1=CC=CC=C1[N+](=O)[O-],4.1457
CC1=CC(=CC=C1)[N+](=O)[O-],4.7451
CC1=CC=C(C=C1)[N+](=O)[O-],5.139
C(F)(F)(Cl)Br,0.386
C(Cl)(Cl)(Cl)Br,0.0358
C(F)(F)(F)Br,0.3256
C(F)(F)Br,1.3743
C(I)(I)I,0.5765
C(F)Cl,1.7683
CI,1.5716
C(C(F)(F)Br)(F)(F)Br,0.0
C(C(F)(F)Cl)(F)(F)F,0.4144
C(C(F)(Cl)Cl)(F)(F)F,0.6419
C(C(Cl)(Cl)Cl)(F)(F)F,0.8131
C(C(Cl)(Cl)Cl)(F)(F)Cl,0.6424
C(=O)(C(Cl)(Cl)Cl)Cl,1.167
C(=C(F)F)(F)F,0.0
C(C(F)(F)F)(F)(F)F,0.0
C(C(F)(F)F)(Cl)Br,1.4203
C(=C(F)F)Cl,0.9697
C(C(F)(F)Cl)(F)F,1.4173
C(C(F)(F)F)(F)Cl,1.4315
C(C(F)(F)Cl)(F)Cl,1.4451
C(C(F)(F)F)(Cl)Cl,1.4626
C(C(=O)Cl)(Cl)Cl,2.034
C(=O)C(Cl)(Cl)Cl,1.5132
C(=C(F)F)F,1.1563
C(C(F)(F)F)(F)F,1.4105
C(C(Br)Br)(Br)Br,1.4429
C(C(F)(F)F)Cl,1.9537
C(=C\Cl)\Cl,1.7087
C(=C/Cl)\Cl,0.0003
C(C(F)(F)Cl)Cl,1.8863
C(=O)C(Cl)Cl,0.9374
C(C(F)(Cl)Cl)Cl,1.7023
C(C(Cl)(Cl)Cl)Cl,1.4779
C=C(F)F,1.1751
C(C(F)(F)F)F,1.9021
C(C(F)F)(F)F,0.002
C(OC(F)F)(F)F,1.2956
C(=O)(C(=O)O)O,0.0
C=CBr,1.3245
C(C(Br)Br)Br,1.1504
CC(F)(F)Cl,2.1063
C(C(F)Cl)F,1.1458
C(C(F)F)Cl,1.3164
CC(=O)Cl,2.642
C(C=O)Cl,1.3613
COC(=O)Cl,2.7157
CC(F)(Cl)Cl,1.9213
C(C(F)Cl)Cl,1.3215
C(C(Cl)Cl)Cl,1.2798
C=CF,1.3046
C(C(F)F)F,0.9476
C=CI,1.2035
C[N+]#[C-],3.842
CC(F)Cl,2.0636
C(CCl)F,0.1018
C(OCCl)Cl,0.4498
C(CF)F,2.2193
C(CI)I,0.0
C1CS1,1.7282
COCCl,1.8753
CCI,1.8743
C1CN1,1.5795
CNC=O,3.8081
CC[N+](=O)[O-],3.5894
C(CS)O,1.7047
CSSC,1.8753
C(CS)S,0.8238
C(C(F)(F)F)(C(F)(F)Cl)(F)Cl,0.6991
C(=C(F)F)(C(F)(F)F)F,1.0061
C(=O)(C(F)(F)F)C(F)(F)F,0.296
C(C(F)(F)F)(C(F)(F)F)F,1.3792
C(C(F)F)(C(F)(F)F)F,1.9768
C(C#N)C#N,3.7915
C=CC(F)(F)F,2.3533
CC(C(F)(F)F)(F)F,2.1437
C(C(C(F)F)(F)F)F,1.551
C=CC#N,3.7309
C1=CON=C1,2.8225
C=C(CCl)Cl,2.0702
CC=C(Cl)Cl,1.6389
C(/C=C\Cl)Cl,1.7076
C=CC(Cl)Cl,1.9234
CC(C(Cl)(Cl)Cl)Cl,1.7436
C(CCl)C(Cl)(Cl)Cl,0.2022
CC(C(Cl)Cl)(Cl)Cl,0.5125
C(C(C(Cl)Cl)Cl)Cl,1.4176
C(C(CCl)(Cl)Cl)Cl,0.1136
CC(C(F)F)(F)F,0.6766
C=CC=O,3.0546
C#CCO,1.3595
C=CC(=O)O,1.4513
C1COC1=O,3.9857
C(C(=O)O)C(=O)O,1.2386
C/C=C\Br,1.572
CC(=C)Br,1.5594
C=CCBr,1.8461
CC(CBr)(Br)Br,1.4119
C(C(CBr)Br)Br,1.4371
CC(=C)Cl,1.417
C=CCCl,1.7656
COC(=O)CCl,3.2084
C(CCl)C(Cl)Cl,1.6889
CC(CCl)(Cl)Cl,1.459
C(C(CCl)Cl)Cl,1.3696
C=CCF,1.6223
C=CCI,1.7044
C(CO)C#N,3.5832
CC(C#N)O,2.6543
CC(C)(Cl)Cl,2.0788
C(C(CCl)Cl)O,1.4337
CC(C)(F)F,2.2503
C=CCO,1.4359
CC1CO1,1.8362
C[C@H]1CO1,1.836
CC(=O)CO,2.9689
COCC(=O)O,4.9777
COC(=O)OC,0.2913
C1CSC1,1.7867
CC1CS1,1.8474
CC(C)Br,2.0868
CCCF,1.6704
CC(C)F,1.7514
CC(C)I,2.0685
C=CCN,1.2395
CCNC=O,3.7748
CC(C)[N+](=O)[O-],3.5766
COCCO,2.2601
COCOC,0.2919
C[C@H](CO)O,2.4709
CC(C)S,1.5553
CSCSC,0.0673
CC(CN)O,2.8931
C(CN)CO,3.3672
CNCCO,2.6146
CC(CO)N,2.9001
C[C@H](CN)O,2.8934
C1(C(C(C1(F)Cl)(F)Cl)(F)F)(F)F,0.4098
C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,0.6054
F/C(=C(/F)C(F)(F)F)C(F)(F)F,0.0005
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,0.0002
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.0865
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F,0.0017
C(=C/C#N)\C#N,0.0
C(=C\C#N)\C#N,5.0953
C1=CC(=O)OC1=O,3.9086
C1=CC=NN=C1,3.983
C1CC(=O)OC1=O,4.2345
C=CC(=C)Cl,1.2598
C=CCC#N,3.6914
COC(=O)CC#N,5.241
C1CC(=O)NC1=O,1.852
C(/C=C\CCl)Cl,1.2457
C=C(CCl)CCl,1.5073
C(C(CCl)(CCl)Cl)Cl,1.5776
CC(=C)C=O,2.7141
C1C=CCO1,1.6581
C(C#CCO)O,0.7134
C1CC(=O)OC1,4.4138
C/C=C\C(=O)O,1.2776
C=CCC(=O)O,1.5633
CC(=C)C(=O)O,1.5966
COC(=O)C=C,1.4955
C1CC1C(=O)O,1.5345
C(CC(=O)O)C(=O)O,1.2532
CC(=O)OCC(=O)O,1.7418
CC/C=C/Br,1.9059
CCC(=C)Br,1.5219
C=CCCBr,1.8414
C/C=C(/C)\\Br,1.5762
CC(=CBr)C,1.9342
CCC(C(Br)Br)Br,1.2549
CCC(CBr)(Br)Br,1.5326
CC/C=C\Cl,1.3585
C=CCCCl,1.7172
CC(=CCl)C,1.7277
CC(CC(Cl)Cl)Cl,1.9775
CC(C(CCl)Cl)Cl,1.4591
CC(CCl)(CCl)Cl,1.774
CC(C)C#N,3.8116
COCCC#N,3.5858
CC1CC1,0.137
CCC(CBr)Br,0.5891
CC(CCBr)Br,2.2258
C(CCBr)CBr,0.0
CCC(C)(Br)Br,2.223
CCC(C)(Cl)Cl,1.9936
CC(C)C(Cl)Cl,1.8787
C(CCl)OCCCl,0.5257
CCOC=C,0.953
COCC=C,1.226
CC(C)C=O,2.5471
C1CCOC1,1.7551
C/C=C\CO,1.7411
C/C=C/CO,1.9225
C=CCCO,1.6006
CC(C=C)O,1.308
CC(=C)CO,1.164
CCSC(=O)C,1.2363
CSCCC=O,0.9888
CC(C)OC=O,2.1056
C(/C=C\CO)O,3.7282
C1COCOC1,1.9408
CC(C(=O)OC)O,2.768
C1CCSC1,1.9219
CC(C)CBr,1.9495
CC(C)(C)Br,2.1784
CC(C)(C)Cl,1.9213
CC(C)CI,1.9287
CC(C)(C)I,2.2072
CC(=O)N(C)C,3.695
C1COCCN1,1.5955
CCCC[N+](=O)[O-],3.8649
CC(C)C[N+](=O)[O-],3.6512
CC(C)(C)[N+](=O)[O-],3.5187
C1CNCCN1,0.0
CC[C@@H](C)O,1.4785
CCSCCO,2.1945
COCCOC,0.0003
CC(C)(CO)O,2.446
CC(COC)O,2.208
C[C@@H]([C@H](C)O)O,2.2941
COCCCO,3.1645
C(COCCO)O,1.5284
CCOS(=O)OCC,1.4702
CCCSC,1.5368
CC(C)SC,1.5198
CCSSCC,1.894
CC(C)CN,1.3283
CC(C)(C)N,1.0981
CCCNC,0.8413
CC(C)NC,0.8827
CN(C)CCO,2.459
CCC(CO)N,3.0051
CCNCCO,2.6063
CCN(CC)O,0.7447
CCC(CN)O,2.8746
CC(C)(CN)O,2.8791
NCCOCCO,1.3548
CC(CO)(CO)N,1.9086
CNCCNC,0.0001
CN(C)CCN,0.74
CNCCCN,0.8075
C(CNCCO)N,2.134
C1(=C(C(C(C1(F)F)(F)F)(F)F)F)F,1.0907
CC#CC=C,0.6582
C/C=C/C#C,1.0846
C(CC#N)CC#N,3.9567
CC1=CC=CO1,0.5393
CC1=CC=CS1,0.5759
CC1=CSC=C1,0.7733
CN1C=CC=C1,2.2041
CC1=CC=CN1,2.0955
CC1=CNC=C1,1.8055
C1CC12CC2,0.0001
CC(=C=C)C,0.6254
C/C=C\C=C,0.5804
CC(=C)C(=O)C,2.6415
CC(=CC=O)C,4.2026
CCC(=C)C=O,2.6748
CC/C=C/C=O,3.9205
CC(=O)OCC=C,1.611
CC(=C)OC(=O)C,1.5725
C/C=C/C(=O)OC,1.6144
CCOC(=O)C=C,1.6487
CCC(=C)C(=O)O,1.5761
C/C=C(\C)/C(=O)O,2.2504
C/C=C(/C)\C(=O)O,1.3117
CC(=CC(=O)O)C,1.7098
CC/C=C\C(=O)O,1.1747
C=CCCC(=O)O,1.524
CC1CCC(=O)O1,4.4498
CC(=O)CCC(=O)O,6.3275
CC(CC=C)Br,1.9872
"CC\C=C\CBr
CC\C=C\CBr",2.2475
CCCCC#N,4.0133
CC(C)CC#N,3.7318
CC(C)(C)C#N,3.8161
CCCCN=C=O,2.8873
CN1CCCC1=O,3.7525
CCC1CC1,0.1056
CC(C)C=C,0.3319
C(CCBr)CCBr,1.8169
CCCC(CCl)Cl,0.452
CC(CCCCl)Cl,0.2706
C(CCCl)CCCl,1.9231
CCCC(C)(Cl)Cl,1.9339
CCC(C(C)Cl)Cl,0.5402
CC(CC(C)Cl)Cl,1.9943
CC(C)CC(Cl)Cl,2.0217
CCC(C)(CCl)Cl,0.4379
CC(C)C(CCl)Cl,0.3737
CC(C)CC=O,2.327
CC1CCCO1,1.5602
CCOCC=C,1.1287
CC(C)(C=C)O,1.2701
CCC(C=C)O,1.3129
C=CCCCO,1.1678
CC/C=C\CO,1.7249
CC(C)CC(=O)O,1.3998
CCCCOC=O,2.2445
CC(C)COC=O,2.1965
CC(C)C(=O)OC,1.6708
CC1CCS(=O)(=O)C1,5.2467
C1CCC(C1)S,1.6665
CCCCCBr,2.156
CCC(CC)Br,1.9356
CCC(C)(C)Br,2.2806
CC(C)(C)CBr,1.8844
CC[C@H](C)CBr,1.9274
CCC(CC)Cl,1.7654
CC(C)CCCl,1.6636
CCC(C)(C)Cl,1.8515
CC(C)(C)CCl,1.7322
CCCCCF,1.6528
CCCCCI,2.1151
CCC(C)CI,1.9255
CC(C)CCI,2.0946
CCC(C)(C)I,2.3626
CN1CCCC1,0.4244
C1CCC(C1)N,1.207
CC1CCNC1,0.7967
CCN(CC)C=O,3.8568
CCCCC[N+](=O)[O-],3.9116
CCCC(C)O,1.4795
CCC(C)(C)O,1.3876
CC(C)(C)CO,1.4605
CCC(C)OC,1.1425
CC(C)(CO)CO,3.3443
CCC(C)(CO)O,2.4396
CC(CCO)CO,2.9991
CC(C(C)(C)O)O,2.4266
CC(C)C(CO)O,2.3582
CC(C)(CCO)O,3.3316
CCOCOCC,0.3437
CC(C)OCCO,2.3542
CC(CCO)OC,3.2128
CCOCCCO,3.1075
COCCOCCO,1.8326
CCCCCS,1.6667
CCCC(C)S,1.4405
CCC(CC)S,1.4606
CCC(C)CS,1.5117
CC(C)CCS,1.6256
CCC(C)(C)S,1.4697
CC(C)(C)CS,1.4507
CCCCSC,1.5605
CCCSCC,1.5394
CC(C)CSC,1.5173
CCSC(C)C,1.513
CC(C)(C)SC,1.461
CCCCCN,1.1794
CC(C)(C)CN,1.2834
CCC(C)NC,0.953
CCNC(C)C,0.822
CN(C)CCCO,2.7895
CC(C)C(CO)N,3.0672
CN(CCO)CCO,3.1381
CCC(CO)(CO)N,2.1207
C(CCN)CCN,1.1193
CN(C)CN(C)C,0.6008
CN(C)CCCN,1.2387
CC(C)(CN)CN,1.462
CCCNCCN,1.6811
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,0.0
C1(=C(C(=C(C(=C1F)F)F)F)F)F,0.0
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0.7617
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,0.8148
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,3.8405
C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,2.9714
C1=C(C=C(C=C1Cl)Cl)Cl,0.0006
C1=CC(=CC(=C1)Br)Br,1.4759
C1=CC(=CC=C1Br)Br,0.0
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],3.8208
C1=CC(=CC=C1[N+](=O)[O-])Cl,3.2715
C1=CC(=CC(=C1)Cl)Cl,1.3817
C1=CC(=CC=C1Cl)Cl,0.0
C1=CC(=CC(=C1)F)F,1.4084
C1=CC=C(C(=C1)F)F,2.3904
C1=CC(=CC=C1F)F,0.0
C1=CC(=CN=C1)C#N,3.7152
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],4.0599
