smiles,Tc (K),Pc (bar),rhoc (mol/L),omega (-),Tb (K),Tm (K),dHvap (kJ/mol),dHfus (kJ/mol)
CCCCCCCCC,,,1.838,,,,,
CCCCCCCCCC,,,1.6669999999999998,,,,,
CCCCCCCCCCC,,,1.517,,,,,
CCCCCCCCCCCC,,,1.3969999999999998,,,,,
CCCCCCCCCCCCC,,,1.29,,,,,
CCCCCCCCCCCCCCC,,,1.125,,,,,
CCCCCCCCCCCCCCCC,,,1.032,,,,,
CCCCCCCCCCCCCCCCC,,,0.972,,,,,
CCCCCCCCCCCCCCCCCC,,12.7,0.919,0.8109999999999999,,,,
CCCCCCCCCCCCCCCCCCC,758.0,12.1,0.871,0.852,,,,
CCCCCCCCCCCCCCCCCCCC,768.0,11.6,0.828,0.907,,,,
CCC(C)C(C)C,,,,,,138.15,,
CC(=C)C=C,484.0,38.5,3.623,0.158,,,,
CC(C)C#C,463.2,42.0,3.636,0.308,,,,
CCC#CC,519.0,40.3,3.623,0.175,,,,
CCCCC#C,516.0,36.2,3.1060000000000003,0.33299999999999996,,,,
CCCC#CC,549.0,35.3,3.0210000000000004,0.221,,,,
CCC#CCC,544.0,35.3,3.0210000000000004,0.218,,,,
CCCCCC#C,559.0,31.4,2.591,0.273,,,,
CCCCCCC#C,585.0,28.2,2.2680000000000002,0.32299999999999995,,,,
CCC1CCCCC1,609.15,30.4,2.326,0.24600000000000002,,,,
C1CC=CC1,507.0,47.9,4.167,0.195,,,,
CC1=CCCC1,542.0,41.3,3.3,0.23199999999999998,,146.62,,
C1CCC=CC1,,43.5,3.4360000000000004,0.212,,,,
CC1=CC=C(C=C1)C(C)C,664.65,28.97,2.053,0.376,,,,
C=CC1=CC=CC=C1,636.0,38.4,2.841,0.297,,,,
CCCCCO,562.34,38.9,3.0589999999999997,0.575,,,,
CC(C)CCO,,,3.0580000000000003,,,,,
CC(CO)O,626.0,61.0,4.184,1.107,,213.15,,
CC(C)OC,,,3.623,,,,,
CC(C)COC,497.0,34.1,3.04,0.31,,152.84,,
CCOC(C)C,489.0,34.1,3.04,0.306,,140.0,,
COC1=CC=CC=C1,,,2.967,,,,,
C1=CC=C(C=C1)OC2=CC=CC=C2,,30.8,1.9880000000000002,0.439,,,,
C=O,408.0,65.86,9.524,0.282,,,,
CCCCCC=O,,,2.71,,,,,
CCCCCCCCCC=O,,,1.724,,,,,
CC(C)CC(=O)C,,,2.71,,,,,
CCC(=O)C(C)C,567.0,33.2,2.71,0.389,,,,
CC(C)C(=O)C(C)C,576.0,30.2,2.404,0.405,,,,
C(=O)O,,58.1,8.0,0.317,,,,
C1=CC=C(C=C1)C(=O)O,751.0,44.7,2.907,0.603,,,,
CCCC(=O)OCC,,29.5,2.481,0.401,,,,
CCCCOC(=O)C,,,2.571,,,,,
COC(=O)C1=CC=CC=C1,693.0,35.9,2.294,0.42100000000000004,,,,
CCOC(=O)C1=CC=CC=C1,698.0,31.8,2.045,0.47700000000000004,,,,
CC(=O)OC=C,,39.58,3.7039999999999997,0.35100000000000003,,,,
CN,,,6.494,,,,,
CNC,,53.4,5.556,0.3,,,,
CCN,,,4.831,,,,,
CCCN,,,3.846,,,,,
CCCNCCC,,,2.488,,,,,
C1=CC=C(C=C1)N,,53.1,3.7039999999999997,0.37799999999999995,,,,
CNC1=CC=CC=C1,,,2.681,,,,,
CN(C)C1=CC=CC=C1,,,2.151,,,,,
C(=O)N,771.0,78.0,6.135,0.45299999999999996,,,,
CN(C)C=O,,44.2,,0.318,,,,
CC(=O)N,761.0,66.0,4.651,0.42100000000000004,,,,
CC(=O)NC,718.0,49.8,3.745,0.435,,,,
CC#N,,,5.78,,,,,
CCC#N,,41.85,4.367,0.325,,,,
CCCC#N,,,3.597,,,,,
CCCS,,46.3,3.937,0.23199999999999998,,,,
CCCCS,,39.7,3.2569999999999997,0.271,,,,
CC(C)CS,559.0,40.6,3.2569999999999997,0.253,,,,
CCSC,,,3.937,,,,,
CCF,,,6.098,,,,,
CCCCl,,,4.0489999999999995,,,,,
CC(C)Cl,489.0,45.4,4.0489999999999995,0.19899999999999998,,,,
CCC(Cl)Cl,564.31,42.12,3.437,0.251,,167.91,,
CC(CCl)Cl,570.31,42.12,3.437,0.253,,,,
C=CCl,432.0,56.7,5.587000000000001,0.1,,,,
[N]=O,,,,,,,13.529000000000002,
C(F)(F)F,,,,,,,16.617,
