name,smiles,inchi,mol weight (g/mol),Tc mean (K),Tc std (K),Tc all data,Tc all reference,Pc mean (bar),Pc std (bar),Pc all data,Pc all reference,rhoc mean (mol/L),rhoc std (mol/L),rhoc all data,rhoc all reference,omega mean (-),omega std (-),omega all data,omega all reference,Tb mean (K),Tb std (K),Tb all data,Tb all reference,Tm mean (K),Tm std (K),Tm all data,Tm all reference,dHvap mean (kJ/mol),dHvap std (kJ/mol),dHvap all data,dHvap all reference,dHfus mean (kJ/mol),dHfus std (kJ/mol),dHfus all data,dHfus all reference
nonane,CCCCCCCCC,"InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",128.259,,,,,,,,,1.838,,[1.838],['3-est'],,,,,,,,,,,,,,,,,,,,
decane,CCCCCCCCCC,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",142.286,,,,,,,,,1.667,,[1.667],['3-est'],,,,,,,,,,,,,,,,,,,,
undecane,CCCCCCCCCCC,"InChI=1/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",156.313,,,,,,,,,1.517,,[1.517],['3-est'],,,,,,,,,,,,,,,,,,,,
dodecane,CCCCCCCCCCCC,"InChI=1/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",170.34,,,,,,,,,1.397,,[1.397],['3-est'],,,,,,,,,,,,,,,,,,,,
tridecane,CCCCCCCCCCCCC,"InChI=1/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3",184.367,,,,,,,,,1.29,,[1.29],['3-est'],,,,,,,,,,,,,,,,,,,,
pentadecane,CCCCCCCCCCCCCCC,"InChI=1/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",212.421,,,,,,,,,1.125,,[1.125],['3-est'],,,,,,,,,,,,,,,,,,,,
hexadecane,CCCCCCCCCCCCCCCC,"InChI=1/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",226.448,,,,,,,,,1.032,,[1.032],['3-est'],,,,,,,,,,,,,,,,,,,,
heptadecane,CCCCCCCCCCCCCCCCC,"InChI=1/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3",240.475,,,,,,,,,0.972,,[0.972],['3-est'],,,,,,,,,,,,,,,,,,,,
octadecane,CCCCCCCCCCCCCCCCCC,"InChI=1/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3",254.502,,,,,12.7,,[12.7],['3-est'],0.919,,[0.919],['3-est'],0.811,,[0.811],['3-est'],,,,,,,,,,,,,,,,
nonadecane,CCCCCCCCCCCCCCCCCCC,"InChI=1/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3",268.529,758,,[758.0],['3-est'],12.1,,[12.1],['3-est'],0.871,,[0.871],['3-est'],0.852,,[0.852],['3-est'],,,,,,,,,,,,,,,,
icosane,CCCCCCCCCCCCCCCCCCCC,"InChI=1/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3",282.556,768,,[768.0],['3-est'],11.6,,[11.6],['3-est'],0.828,,[0.828],['3-est'],0.907,,[0.907],['3-est'],,,,,,,,,,,,,,,,
"2,3-dimethylpentane",CCC(C)C(C)C,"InChI=1/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3",100.205,,,,,,,,,,,,,,,,,,,,,138.15,,[138.15],['3-est'],,,,,,,,
"2-methylbuta-1,3-diene",CC(=C)C=C,"InChI=1/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",68.119,484,,[484.0],['3-est'],38.5,,[38.5],['3-est'],3.623,,[3.623],['3-est'],0.158,,[0.158],['3-est'],,,,,,,,,,,,,,,,
3-methylbut-1-yne,CC(C)C#C,"InChI=1/C5H8/c1-4-5(2)3/h1,5H,2-3H3",68.119,463.2,,[463.2],['3-est'],42,,[42.0],['3-est'],3.636,,[3.636],['3-est'],0.308,,[0.308],['3-est'],,,,,,,,,,,,,,,,
pent-2-yne,CCC#CC,"InChI=1/C5H8/c1-3-5-4-2/h3H2,1-2H3",68.119,519,,[519.0],['3-est'],40.3,,[40.3],['3-est'],3.623,,[3.623],['3-est'],0.175,,[0.175],['3-est'],,,,,,,,,,,,,,,,
hex-1-yne,CCCCC#C,"InChI=1/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",82.146,516,,[516.0],['3-est'],36.2,,[36.2],['3-est'],3.106,,[3.106],['3-est'],0.333,,[0.333],['3-est'],,,,,,,,,,,,,,,,
hex-2-yne,CCCC#CC,"InChI=1/C6H10/c1-3-5-6-4-2/h3,5H2,1-2H3",82.146,549,,[549.0],['3-est'],35.3,,[35.3],['3-est'],3.021,,[3.021],['3-est'],0.221,,[0.221],['3-est'],,,,,,,,,,,,,,,,
hex-3-yne,CCC#CCC,"InChI=1/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3",82.146,544,,[544.0],['3-est'],35.3,,[35.3],['3-est'],3.021,,[3.021],['3-est'],0.218,,[0.218],['3-est'],,,,,,,,,,,,,,,,
