name,smiles,inchi,mol weight (g/mol),Tc mean (K),Tc std (K),Tc all data,Tc all reference,Pc mean (bar),Pc std (bar),Pc all data,Pc all reference,rhoc mean (mol/L),rhoc std (mol/L),rhoc all data,rhoc all reference,omega mean (-),omega std (-),omega all data,omega all reference,Tb mean (K),Tb std (K),Tb all data,Tb all reference,Tm mean (K),Tm std (K),Tm all data,Tm all reference,dHvap mean (kJ/mol),dHvap std (kJ/mol),dHvap all data,dHvap all reference,dHfus mean (kJ/mol),dHfus std (kJ/mol),dHfus all data,dHfus all reference
methane,C,InChI=1/CH4/h1H4,16.043,190.56,0.01,"[190.564, 190.56, 190.56, 190.58, 190.56]","['1', '2', '8', '9', '3-expt']",45.97,0.04,"[45.9, 45.99, 46.0, 45.99, 45.99]","['1', '2', '8', '9', '3-expt']",10.121,0.028999999999999998,"[10.101, 10.162, 10.101, 10.101, 10.142]","['1', '2', '8', '9', '3-expt']",0.011000000000000001,0.001,"[0.011, 0.011, 0.012, 0.012]","['1', '2', '9', '3-expt']",111.65,0.05,"[111.7, 111.6, 111.66]","['8', '9', '3-expt']",90.37,0.56,"[89.72, 90.7, 90.69]","['5', '9', '3-expt']",8.187000000000001,0.009000000000000001,"[8.193232, 8.18]","['2', '9']",0.935,0.009000000000000001,"[0.942, 0.928848]","['2', '9']"
ethane,CC,InChI=1/C2H6/c1-2/h1-2H3,30.07,305.35,0.04,"[305.32, 305.32, 305.36, 305.42, 305.32]","['1', '2', '8', '9', '3-expt']",48.71,0.12,"[48.5, 48.72, 48.8, 48.786, 48.72]","['1', '2', '8', '9', '3-expt']",6.836,0.045,"[6.849, 6.851, 6.849, 6.757, 6.873]","['1', '2', '8', '9', '3-expt']",0.099,0.001,"[0.098, 0.1, 0.099, 0.1]","['1', '2', '9', '3-expt']",184.58,0.03,"[184.6, 184.6, 184.55]","['8', '9', '3-expt']",91.78,2.88,"[95.1, 89.9, 90.35]","['5', '9', '3-expt']",14.713,0.009000000000000001,"[14.719265, 14.707]","['2', '9']",2.859,0.001,"[2.859657, 2.858]","['2', '9']"
propane,CCC,"InChI=1/C3H8/c1-3-2/h3H2,1-2H3",44.097,369.82,0.01,"[369.83, 369.82, 369.82, 369.83]","['1', '2', '9', '3-expt']",42.39,0.19,"[42.1, 42.48, 42.485, 42.48]","['1', '2', '9', '3-expt']",4.984,0.039,"[5.0, 5.011, 4.926, 5.0]","['1', '2', '9', '3-expt']",0.151,0.002,"[0.149, 0.152, 0.153, 0.152]","['1', '2', '9', '3-expt']",231.11,0.01,"[231.1, 231.11]","['9', '3-expt']",85.48,0.02,"[85.5, 85.47]","['9', '3-expt']",18.782,0.012,"[18.79101, 18.773608]","['2', '9']",3.523,0.0,"[3.52359, 3.522928]","['2', '9']"
butane,CCCC,"InChI=1/C4H10/c1-3-4-2/h3-4H2,1-2H3",58.124,425.15,0.04,"[425.12, 425.13, 425.2, 425.18, 425.12]","['1', '2', '8', '9', '3-expt']",37.9,0.11,"[37.7, 37.96, 37.9, 37.957, 37.96]","['1', '2', '8', '9', '3-expt']",3.9160000000000004,0.013999999999999999,"[3.922, 3.923, 3.891, 3.922, 3.922]","['1', '2', '8', '9', '3-expt']",0.19899999999999998,0.002,"[0.197, 0.201, 0.199, 0.2]","['1', '2', '9', '3-expt']",272.68,0.03,"[272.7, 272.7, 272.65]","['8', '9', '3-expt']",134.83,0.04,"[134.8, 134.86]","['9', '3-expt']",22.410999999999998,0.025,"[22.428508, 22.393]","['2', '9']",4.6610000000000005,0.0,"[4.661224, 4.661]","['2', '9']"
pentane,CCCCC,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",72.15100000000001,469.69,0.02,"[469.7, 469.66, 469.7, 469.7, 469.7]","['1', '2', '8', '9', '3-expt']",33.67,0.04,"[33.6, 33.69, 33.7, 33.682, 33.7]","['1', '2', '8', '9', '3-expt']",3.228,0.046,"[3.175, 3.257, 3.226, 3.289, 3.195]","['1', '2', '8', '9', '3-expt']",0.252,0.001,"[0.251, 0.252, 0.251, 0.252]","['1', '2', '9', '3-expt']",309.21,0.01,"[309.21, 309.21, 309.22]","['8', '9', '3-expt']",143.41,0.01,"[143.4, 143.42]","['9', '3-expt']",25.791,0.024,"[25.808055, 25.77344]","['2', '9']",8.396,0.004,"[8.39826, 8.393104]","['2', '9']"
hexane,CCCCCC,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",86.178,507.62,0.12,"[507.6, 507.79, 507.5, 507.6]","['1', '2', '9', '3-expt']",30.3,0.14,"[30.4, 30.42, 30.11649, 30.25]","['1', '2', '9', '3-expt']",2.667,0.053,"[2.681, 2.588, 2.703, 2.695]","['1', '2', '9', '3-expt']",0.301,0.002,"[0.304, 0.3, 0.299, 0.301]","['1', '2', '9', '3-expt']",341.89,0.01,"[341.9, 341.88]","['9', '3-expt']",177.81,0.02,"[177.8, 177.83]","['9', '3-expt']",28.857,0.006,"[28.861682, 28.852864]","['2', '9']",13.056,0.038,"[13.082124, 13.028976]","['2', '9']"
heptane,CCCCCCC,"InChI=1/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",100.205,540.41,0.47,"[540.2, 541.23, 540.1, 540.3, 540.2]","['1', '2', '8', '9', '3-expt']",27.42,0.2,"[27.2, 27.74, 27.4, 27.351, 27.4]","['1', '2', '8', '9', '3-expt']",2.314,0.039,"[2.336, 2.245, 2.336, 2.315, 2.336]","['1', '2', '8', '9', '3-expt']",0.348,0.002,"[0.346, 0.346, 0.349, 0.35]","['1', '2', '9', '3-expt']",371.56,0.03,"[371.53, 371.58, 371.58]","['8', '9', '3-expt']",182.58,0.02,"[182.6, 182.57]","['9', '3-expt']",31.717,0.027000000000000003,"[31.736507, 31.698]","['2', '9']",14.040999999999999,0.012,"[14.049442, 14.033136]","['2', '9']"
octane,CCCCCCCC,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",114.23200000000001,568.95,0.42,"[568.7, 569.57, 568.83, 568.7]","['1', '2', '9', '3-expt']",24.88,0.15,"[24.7, 25.07, 24.859, 24.9]","['1', '2', '9', '3-expt']",2.036,0.028999999999999998,"[2.058, 1.996, 2.033, 2.058]","['1', '2', '9', '3-expt']",0.397,0.003,"[0.396, 0.394, 0.398, 0.4]","['1', '2', '9', '3-expt']",398.82,0.01,"[398.82, 398.83]","['9', '3-expt']",216.39,0.01,"[216.4, 216.38]","['9', '3-expt']",34.461,0.068,"[34.508883, 34.4134]","['2', '9']",20.741999999999997,0.003,"[20.744168, 20.740088]","['2', '9']"
nonane,CCCCCCCCC,"InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",128.259,594.51,0.17,"[594.6, 594.55, 594.2, 594.6, 594.6]","['1', '2', '8', '9', '3-expt']",22.92,0.11,"[23.1, 22.82, 22.9, 22.874, 22.9]","['1', '2', '8', '9', '3-expt']",1.828,0.013999999999999999,"[1.852, 1.824, 1.813, 1.828, 1.825]","['1', '2', '5', '8', '9']",0.445,0.001,"[0.446, 0.444, 0.445, 0.444]","['1', '2', '9', '3-expt']",423.98,0.02,"[424.0, 423.97, 423.97]","['8', '9', '3-expt']",219.66,0.05,"[219.7, 219.63]","['9', '3-expt']",36.959,0.062,"[37.00301, 36.915432]","['2', '9']",15.468,,[15.468156],['2']
decane,CCCCCCCCCC,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",142.286,617.7,0.0,"[617.7, 617.7, 617.7, 617.7]","['1', '2', '9', '3-expt']",21.01,0.08,"[20.9, 21.01, 21.02988, 21.1]","['1', '2', '9', '3-expt']",1.656,0.01,"[1.664, 1.645, 1.658]","['1', '2', '9']",0.489,0.002,"[0.488, 0.488, 0.489, 0.492]","['1', '2', '9', '3-expt']",447.3,0.0,"[447.3, 447.3]","['9', '3-expt']",243.5,0.01,"[243.5, 243.51]","['9', '3-expt']",39.297,0.025,"[39.314727, 39.279392]","['2', '9']",28.714000000000002,,[28.714122],['2']
